question_id,question,correct_chunk_id,found_rank,reciprocal_rank,hit@1,hit@3,hit@5,ap,ndcg@5,top_1_score,correct_score
1,Ai là người đầu tiên đặt ra thuật ngữ Trí tuệ nhân...,chunk_0,1.0,1.0,1,1,1,1.0,1.0,0.6296519041061401,0.6296519041061401
2,Hội nghị Dartmouth diễn ra vào năm nào?,chunk_0,,0.0,0,0,0,0.0,0.0,0.27888375520706177,0.0
3,AI biểu tượng hay GOFAI là gì?,chunk_1,1.0,1.0,1,1,1,1.0,1.0,0.24291665852069855,0.24291665852069855
4,Giai đoạn đầu của AI tập trung vào những gì?,chunk_1,1.0,1.0,1,1,1,1.0,1.0,0.49640828371047974,0.49640828371047974
5,Mùa đông AI đầu tiên xảy ra khi nào?,chunk_2,1.0,1.0,1,1,1,1.0,1.0,0.4750707745552063,0.4750707745552063
6,Nguyên nhân chính gây ra mùa đông AI là gì?,chunk_2,2.0,0.5,0,1,1,0.5,0.6309297535714575,0.4967162311077118,0.41787949204444885
7,Thuật toán backpropagation được phát triển vào thờ...,chunk_3,,0.0,0,0,0,0.0,0.0,0.2829047441482544,0.0
8,Mạng nơ-ron nhân tạo trỗi dậy vào giai đoạn nào?,chunk_3,1.0,1.0,1,1,1,1.0,1.0,0.6367886066436768,0.6367886066436768
9,Học sâu là gì và ứng dụng trong những lĩnh vực nào...,chunk_4,1.0,1.0,1,1,1,1.0,1.0,0.3986801505088806,0.3986801505088806
10,GPT-4 và BERT thuộc về kỷ nguyên nào của AI?,chunk_4,5.0,0.2,0,0,1,0.2,0.38685280723454163,0.3216269314289093,0.1345110684633255
11,Những trường đại học nào ở Việt Nam nghiên cứu về ...,chunk_5,1.0,1.0,1,1,1,1.0,1.0,0.6198241114616394,0.6198241114616394
12,Chiến lược quốc gia về AI của Việt Nam có mục tiêu...,chunk_5,2.0,0.5,0,1,1,0.5,0.6309297535714575,0.4240610599517822,0.2547692358493805
13,AI được ứng dụng trong những lĩnh vực nào tại Việt...,chunk_6,3.0,0.3333333333333333,0,1,1,0.3333333333333333,0.5,0.5067340135574341,0.3806377947330475
14,AI được sử dụng như thế nào trong y tế và nông ngh...,chunk_6,1.0,1.0,1,1,1,1.0,1.0,0.4693077802658081,0.4693077802658081
15,Những thách thức chính của AI hiện nay là gì?,chunk_7,,0.0,0,0,0,0.0,0.0,0.47903865575790405,0.0
16,Tương lai AI tại Việt Nam như thế nào?,chunk_7,,0.0,0,0,0,0.0,0.0,0.4202413558959961,0.0
