question_id,question,correct_chunk_id,found_rank,reciprocal_rank,hit@1,hit@3,hit@5,ap,ndcg@5,top_1_score,correct_score
1,Ai là người đầu tiên đặt ra thuật ngữ Trí tuệ nhân...,chunk_0,1.0,1.0,1,1,1,1.0,1.0,0.3246108293533325,0.3246108293533325
2,Hội nghị Dartmouth diễn ra vào năm nào?,chunk_0,1.0,1.0,1,1,1,1.0,1.0,0.1363600790500641,0.1363600790500641
3,AI biểu tượng hay GOFAI là gì?,chunk_1,3.0,0.3333333333333333,0,1,1,0.3333333333333333,0.5,0.4616156220436096,0.41797304153442383
4,Giai đoạn đầu của AI tập trung vào những gì?,chunk_1,1.0,1.0,1,1,1,1.0,1.0,0.5027250051498413,0.5027250051498413
5,Mùa đông AI đầu tiên xảy ra khi nào?,chunk_2,1.0,1.0,1,1,1,1.0,1.0,0.41736969351768494,0.41736969351768494
6,Nguyên nhân chính gây ra mùa đông AI là gì?,chunk_2,1.0,1.0,1,1,1,1.0,1.0,0.4627332091331482,0.4627332091331482
7,Thuật toán backpropagation được phát triển vào thờ...,chunk_3,2.0,0.5,0,1,1,0.5,0.6309297535714575,0.2154102325439453,0.19702139496803284
8,Mạng nơ-ron nhân tạo trỗi dậy vào giai đoạn nào?,chunk_3,1.0,1.0,1,1,1,1.0,1.0,0.4058767557144165,0.4058767557144165
9,Học sâu là gì và ứng dụng trong những lĩnh vực nào...,chunk_4,1.0,1.0,1,1,1,1.0,1.0,0.3542734980583191,0.3542734980583191
10,GPT-4 và BERT thuộc về kỷ nguyên nào của AI?,chunk_4,3.0,0.3333333333333333,0,1,1,0.3333333333333333,0.5,0.24154475331306458,0.21966613829135895
11,Những trường đại học nào ở Việt Nam nghiên cứu về ...,chunk_5,2.0,0.5,0,1,1,0.5,0.6309297535714575,0.3527243733406067,0.3242645561695099
12,Chiến lược quốc gia về AI của Việt Nam có mục tiêu...,chunk_5,5.0,0.2,0,0,1,0.2,0.38685280723454163,0.39239245653152466,0.28575029969215393
13,AI được ứng dụng trong những lĩnh vực nào tại Việt...,chunk_6,1.0,1.0,1,1,1,1.0,1.0,0.6032911539077759,0.6032911539077759
14,AI được sử dụng như thế nào trong y tế và nông ngh...,chunk_6,1.0,1.0,1,1,1,1.0,1.0,0.6043555736541748,0.6043555736541748
15,Những thách thức chính của AI hiện nay là gì?,chunk_6,2.0,0.5,0,1,1,0.5,0.6309297535714575,0.43966126441955566,0.4258524477481842
16,Văn bản pháp luật nào phê duyệt 'Chương trình Chuy...,chunk_7,3.0,0.3333333333333333,0,1,1,0.3333333333333333,0.5,0.32066020369529724,0.1909903585910797
17,Ba trụ cột chính của chuyển đổi số theo Quyết định...,chunk_7,1.0,1.0,1,1,1,1.0,1.0,0.16942842304706573,0.16942842304706573
18,Luật An ninh mạng có hiệu lực từ ngày nào?,chunk_9,1.0,1.0,1,1,1,1.0,1.0,0.5035580396652222,0.5035580396652222
19,Ví dụ nào là thuộc về 'dữ liệu cá nhân nhạy cảm' t...,chunk_11,1.0,1.0,1,1,1,1.0,1.0,0.24076323211193085,0.24076323211193085
20,Mục tiêu năm 2030 Việt Nam đạt được gì về chính ph...,chunk_8,2.0,0.5,0,1,1,0.5,0.6309297535714575,0.5181863903999329,0.506417989730835
21,Tương lai AI tại Việt Nam như thế nào?,chunk_7,,0.0,0,0,0,0.0,0.0,0.4728054106235504,0.0
