question_id,question,correct_chunk_id,found_rank,reciprocal_rank,hit@1,hit@3,hit@5,ap,ndcg@5,top_1_score,correct_score
1,Ai là người đầu tiên đặt ra thuật ngữ Trí tuệ nhân...,chunk_0,1.0,1.0,1,1,1,1.0,1.0,0.4813283681869507,0.4813283681869507
2,Hội nghị Dartmouth diễn ra vào năm nào?,chunk_0,1.0,1.0,1,1,1,1.0,1.0,0.22629541158676147,0.22629541158676147
3,AI biểu tượng hay GOFAI là gì?,chunk_1,3.0,0.3333333333333333,0,1,1,0.3333333333333333,0.5,0.568233847618103,0.49681970477104187
4,Giai đoạn đầu của AI tập trung vào những gì?,chunk_1,1.0,1.0,1,1,1,1.0,1.0,0.6425689458847046,0.6425689458847046
5,Mùa đông AI đầu tiên xảy ra khi nào?,chunk_2,2.0,0.5,0,1,1,0.5,0.6309297535714575,0.4002494812011719,0.39956891536712646
6,Nguyên nhân chính gây ra mùa đông AI là gì?,chunk_2,3.0,0.3333333333333333,0,1,1,0.3333333333333333,0.5,0.5171560645103455,0.49308478832244873
7,Thuật toán backpropagation được phát triển vào thờ...,chunk_3,2.0,0.5,0,1,1,0.5,0.6309297535714575,0.4358188211917877,0.4185656011104584
8,Mạng nơ-ron nhân tạo trỗi dậy vào giai đoạn nào?,chunk_3,1.0,1.0,1,1,1,1.0,1.0,0.6193479299545288,0.6193479299545288
9,Học sâu là gì và ứng dụng trong những lĩnh vực nào...,chunk_4,1.0,1.0,1,1,1,1.0,1.0,0.48684871196746826,0.48684871196746826
10,GPT-4 và BERT thuộc về kỷ nguyên nào của AI?,chunk_4,4.0,0.25,0,0,1,0.25,0.43067655807339306,0.4732658863067627,0.43915244936943054
11,Những trường đại học nào ở Việt Nam nghiên cứu về ...,chunk_5,2.0,0.5,0,1,1,0.5,0.6309297535714575,0.5151950716972351,0.4984838366508484
12,Chiến lược quốc gia về AI của Việt Nam có mục tiêu...,chunk_5,5.0,0.2,0,0,1,0.2,0.38685280723454163,0.5474748611450195,0.4544789791107178
13,AI được ứng dụng trong những lĩnh vực nào tại Việt...,chunk_6,1.0,1.0,1,1,1,1.0,1.0,0.7234869599342346,0.7234869599342346
14,AI được sử dụng như thế nào trong y tế và nông ngh...,chunk_6,1.0,1.0,1,1,1,1.0,1.0,0.7004492878913879,0.7004492878913879
15,Những thách thức chính của AI hiện nay là gì?,chunk_6,3.0,0.3333333333333333,0,1,1,0.3333333333333333,0.5,0.6020338535308838,0.5930547714233398
16,Văn bản pháp luật nào phê duyệt 'Chương trình Chuy...,chunk_7,2.0,0.5,0,1,1,0.5,0.6309297535714575,0.5117008686065674,0.43070268630981445
17,Ba trụ cột chính của chuyển đổi số theo Quyết định...,chunk_7,1.0,1.0,1,1,1,1.0,1.0,0.4008074104785919,0.4008074104785919
18,Luật An ninh mạng có hiệu lực từ ngày nào?,chunk_9,1.0,1.0,1,1,1,1.0,1.0,0.735565185546875,0.735565185546875
19,Ví dụ nào là thuộc về 'dữ liệu cá nhân nhạy cảm' t...,chunk_11,2.0,0.5,0,1,1,0.5,0.6309297535714575,0.4278688430786133,0.40656596422195435
20,Mục tiêu năm 2030 Việt Nam đạt được gì về chính ph...,chunk_8,2.0,0.5,0,1,1,0.5,0.6309297535714575,0.6625590920448303,0.625565767288208
21,Tương lai AI tại Việt Nam như thế nào?,chunk_7,,0.0,0,0,0,0.0,0.0,0.5902122259140015,0.0
