question_id,question,correct_chunk_id,found_rank,reciprocal_rank,hit@1,hit@3,hit@5,ap,ndcg@5,top_1_score,correct_score
1,Ai là người đầu tiên đặt ra thuật ngữ Trí tuệ nhân...,chunk_0,1,1.0,1,1,1,1.0,1.0,0.6003473997116089,0.6003473997116089
2,Hội nghị Dartmouth diễn ra vào năm nào?,chunk_0,2,0.5,0,1,1,0.5,0.6309297535714575,0.20562714338302612,0.20422154664993286
3,AI biểu tượng hay GOFAI là gì?,chunk_1,1,1.0,1,1,1,1.0,1.0,0.4586532413959503,0.4586532413959503
4,Giai đoạn đầu của AI tập trung vào những gì?,chunk_1,1,1.0,1,1,1,1.0,1.0,0.6706631183624268,0.6706631183624268
5,Mùa đông AI đầu tiên xảy ra khi nào?,chunk_2,1,1.0,1,1,1,1.0,1.0,0.6427468657493591,0.6427468657493591
6,Nguyên nhân chính gây ra mùa đông AI là gì?,chunk_2,1,1.0,1,1,1,1.0,1.0,0.5203662514686584,0.5203662514686584
7,Thuật toán backpropagation được phát triển vào thờ...,chunk_3,1,1.0,1,1,1,1.0,1.0,0.5317416787147522,0.5317416787147522
8,Mạng nơ-ron nhân tạo trỗi dậy vào giai đoạn nào?,chunk_3,1,1.0,1,1,1,1.0,1.0,0.5996795296669006,0.5996795296669006
9,Học sâu là gì và ứng dụng trong những lĩnh vực nào...,chunk_4,1,1.0,1,1,1,1.0,1.0,0.5275179147720337,0.5275179147720337
10,GPT-4 và BERT thuộc về kỷ nguyên nào của AI?,chunk_4,2,0.5,0,1,1,0.5,0.6309297535714575,0.49052000045776367,0.43260249495506287
11,Những trường đại học nào ở Việt Nam nghiên cứu về ...,chunk_5,1,1.0,1,1,1,1.0,1.0,0.6243338584899902,0.6243338584899902
12,Chiến lược quốc gia về AI của Việt Nam có mục tiêu...,chunk_5,3,0.3333333333333333,0,1,1,0.3333333333333333,0.5,0.6386828422546387,0.6268161535263062
13,AI được ứng dụng trong những lĩnh vực nào tại Việt...,chunk_6,2,0.5,0,1,1,0.5,0.6309297535714575,0.6941505670547485,0.6192201375961304
14,AI được sử dụng như thế nào trong y tế và nông ngh...,chunk_6,1,1.0,1,1,1,1.0,1.0,0.6466431617736816,0.6466431617736816
15,Những thách thức chính của AI hiện nay là gì?,chunk_6,1,1.0,1,1,1,1.0,1.0,0.511634886264801,0.511634886264801
16,Văn bản pháp luật nào phê duyệt 'Chương trình Chuy...,chunk_7,1,1.0,1,1,1,1.0,1.0,0.508707582950592,0.508707582950592
17,Ba trụ cột chính của chuyển đổi số theo Quyết định...,chunk_7,1,1.0,1,1,1,1.0,1.0,0.4668140411376953,0.4668140411376953
18,Luật An ninh mạng có hiệu lực từ ngày nào?,chunk_9,1,1.0,1,1,1,1.0,1.0,0.5037751793861389,0.5037751793861389
19,Ví dụ nào là thuộc về 'dữ liệu cá nhân nhạy cảm' t...,chunk_11,2,0.5,0,1,1,0.5,0.6309297535714575,0.6154292821884155,0.6107866168022156
20,Mục tiêu năm 2030 Việt Nam đạt được gì về chính ph...,chunk_8,1,1.0,1,1,1,1.0,1.0,0.5208718776702881,0.5208718776702881
21,Tương lai AI tại Việt Nam như thế nào?,chunk_7,3,0.3333333333333333,0,1,1,0.3333333333333333,0.5,0.6413854360580444,0.5134162902832031
