question_id,question,correct_chunk_id,found_rank,reciprocal_rank,hit@1,hit@3,hit@5,ap,ndcg@5,top_1_score,correct_score
1,Ai là người đầu tiên đặt ra thuật ngữ Trí tuệ nhân...,chunk_0,5.0,0.2,0,0,1,0.2,0.38685280723454163,0.912024974822998,0.905428946018219
2,Hội nghị Dartmouth diễn ra vào năm nào?,chunk_0,3.0,0.3333333333333333,0,1,1,0.3333333333333333,0.5,0.8717209100723267,0.8688638806343079
3,AI biểu tượng hay GOFAI là gì?,chunk_1,2.0,0.5,0,1,1,0.5,0.6309297535714575,0.8785064220428467,0.8729315400123596
4,Giai đoạn đầu của AI tập trung vào những gì?,chunk_1,3.0,0.3333333333333333,0,1,1,0.3333333333333333,0.5,0.9119502902030945,0.9094762802124023
5,Mùa đông AI đầu tiên xảy ra khi nào?,chunk_2,1.0,1.0,1,1,1,1.0,1.0,0.8947650790214539,0.8947650790214539
6,Nguyên nhân chính gây ra mùa đông AI là gì?,chunk_2,1.0,1.0,1,1,1,1.0,1.0,0.8915741443634033,0.8915741443634033
7,Thuật toán backpropagation được phát triển vào thờ...,chunk_3,2.0,0.5,0,1,1,0.5,0.6309297535714575,0.9217132925987244,0.921562671661377
8,Mạng nơ-ron nhân tạo trỗi dậy vào giai đoạn nào?,chunk_3,2.0,0.5,0,1,1,0.5,0.6309297535714575,0.9370115399360657,0.9339355230331421
9,Học sâu là gì và ứng dụng trong những lĩnh vực nào...,chunk_4,1.0,1.0,1,1,1,1.0,1.0,0.9057181477546692,0.9057181477546692
10,GPT-4 và BERT thuộc về kỷ nguyên nào của AI?,chunk_4,1.0,1.0,1,1,1,1.0,1.0,0.877131998538971,0.877131998538971
11,Những trường đại học nào ở Việt Nam nghiên cứu về ...,chunk_5,5.0,0.2,0,0,1,0.2,0.38685280723454163,0.8928176164627075,0.8800508379936218
12,Chiến lược quốc gia về AI của Việt Nam có mục tiêu...,chunk_5,5.0,0.2,0,0,1,0.2,0.38685280723454163,0.8917699456214905,0.8795585632324219
13,AI được ứng dụng trong những lĩnh vực nào tại Việt...,chunk_6,,0.0,0,0,0,0.0,0.0,0.8918523192405701,0.0
14,AI được sử dụng như thế nào trong y tế và nông ngh...,chunk_6,,0.0,0,0,0,0.0,0.0,0.8992306590080261,0.0
15,Những thách thức chính của AI hiện nay là gì?,chunk_7,,0.0,0,0,0,0.0,0.0,0.9117145538330078,0.0
16,Tương lai AI tại Việt Nam như thế nào?,chunk_7,,0.0,0,0,0,0.0,0.0,0.8884038329124451,0.0
