question_id,question,correct_chunk_id,found_rank,reciprocal_rank,hit@1,hit@3,hit@5,ap,ndcg@5,top_1_score,correct_score
1,Ai là người đầu tiên đặt ra thuật ngữ Trí tuệ nhân...,chunk_0,2.0,0.5,0,1,1,0.5,0.6309297535714575,0.7196264266967773,0.6805370450019836
2,Hội nghị Dartmouth diễn ra vào năm nào?,chunk_0,2.0,0.5,0,1,1,0.5,0.6309297535714575,0.2964722514152527,0.26896214485168457
3,AI biểu tượng hay GOFAI là gì?,chunk_1,1.0,1.0,1,1,1,1.0,1.0,0.6842979192733765,0.6842979192733765
4,Giai đoạn đầu của AI tập trung vào những gì?,chunk_1,1.0,1.0,1,1,1,1.0,1.0,0.7423200607299805,0.7423200607299805
5,Mùa đông AI đầu tiên xảy ra khi nào?,chunk_2,1.0,1.0,1,1,1,1.0,1.0,0.3885117173194885,0.3885117173194885
6,Nguyên nhân chính gây ra mùa đông AI là gì?,chunk_2,1.0,1.0,1,1,1,1.0,1.0,0.6317901015281677,0.6317901015281677
7,Thuật toán backpropagation được phát triển vào thờ...,chunk_3,1.0,1.0,1,1,1,1.0,1.0,0.4477749466896057,0.4477749466896057
8,Mạng nơ-ron nhân tạo trỗi dậy vào giai đoạn nào?,chunk_3,1.0,1.0,1,1,1,1.0,1.0,0.6570154428482056,0.6570154428482056
9,Học sâu là gì và ứng dụng trong những lĩnh vực nào...,chunk_4,1.0,1.0,1,1,1,1.0,1.0,0.6775027513504028,0.6775027513504028
10,GPT-4 và BERT thuộc về kỷ nguyên nào của AI?,chunk_4,,0.0,0,0,0,0.0,0.0,0.587793231010437,0.0
11,Những trường đại học nào ở Việt Nam nghiên cứu về ...,chunk_5,1.0,1.0,1,1,1,1.0,1.0,0.8333496451377869,0.8333496451377869
12,Chiến lược quốc gia về AI của Việt Nam có mục tiêu...,chunk_5,2.0,0.5,0,1,1,0.5,0.6309297535714575,0.8598144054412842,0.7756599187850952
13,AI được ứng dụng trong những lĩnh vực nào tại Việt...,chunk_6,3.0,0.3333333333333333,0,1,1,0.3333333333333333,0.5,0.8667774200439453,0.6772981882095337
14,AI được sử dụng như thế nào trong y tế và nông ngh...,chunk_6,1.0,1.0,1,1,1,1.0,1.0,0.7563063502311707,0.7563063502311707
15,Những thách thức chính của AI hiện nay là gì?,chunk_6,1.0,1.0,1,1,1,1.0,1.0,0.7017784714698792,0.7017784714698792
16,Văn bản pháp luật nào phê duyệt 'Chương trình Chuy...,chunk_7,5.0,0.2,0,0,1,0.2,0.38685280723454163,0.49028080701828003,0.21154598891735077
17,Ba trụ cột chính của chuyển đổi số theo Quyết định...,chunk_7,,0.0,0,0,0,0.0,0.0,0.40183746814727783,0.0
18,Luật An ninh mạng có hiệu lực từ ngày nào?,chunk_9,1.0,1.0,1,1,1,1.0,1.0,0.4953206479549408,0.4953206479549408
19,Ví dụ nào là thuộc về 'dữ liệu cá nhân nhạy cảm' t...,chunk_11,1.0,1.0,1,1,1,1.0,1.0,0.36056721210479736,0.36056721210479736
20,Mục tiêu năm 2030 Việt Nam đạt được gì về chính ph...,chunk_8,1.0,1.0,1,1,1,1.0,1.0,0.755728006362915,0.755728006362915
21,Tương lai AI tại Việt Nam như thế nào?,chunk_7,1.0,1.0,1,1,1,1.0,1.0,0.8695701360702515,0.8695701360702515
