question_id,question,correct_chunk_id,found_rank,reciprocal_rank,hit@1,hit@3,hit@5,ap,ndcg@5,top_1_score,correct_score
1,Ai là người đầu tiên đặt ra thuật ngữ Trí tuệ nhân...,chunk_0,1.0,1.0,1,1,1,1.0,1.0,0.6327207088470459,0.6327207088470459
2,Hội nghị Dartmouth diễn ra vào năm nào?,chunk_0,1.0,1.0,1,1,1,1.0,1.0,0.4954279661178589,0.4954279661178589
3,AI biểu tượng hay GOFAI là gì?,chunk_1,1.0,1.0,1,1,1,1.0,1.0,0.5135716199874878,0.5135716199874878
4,Giai đoạn đầu của AI tập trung vào những gì?,chunk_1,2.0,0.5,0,1,1,0.5,0.6309297535714575,0.5868029594421387,0.5747126340866089
5,Mùa đông AI đầu tiên xảy ra khi nào?,chunk_2,2.0,0.5,0,1,1,0.5,0.6309297535714575,0.5991751551628113,0.597144365310669
6,Nguyên nhân chính gây ra mùa đông AI là gì?,chunk_2,1.0,1.0,1,1,1,1.0,1.0,0.6036073565483093,0.6036073565483093
7,Thuật toán backpropagation được phát triển vào thờ...,chunk_3,3.0,0.3333333333333333,0,1,1,0.3333333333333333,0.5,0.46536654233932495,0.4494241178035736
8,Mạng nơ-ron nhân tạo trỗi dậy vào giai đoạn nào?,chunk_3,3.0,0.3333333333333333,0,1,1,0.3333333333333333,0.5,0.4548841714859009,0.39386501908302307
9,Học sâu là gì và ứng dụng trong những lĩnh vực nào...,chunk_4,2.0,0.5,0,1,1,0.5,0.6309297535714575,0.4811343848705292,0.4767690896987915
10,GPT-4 và BERT thuộc về kỷ nguyên nào của AI?,chunk_4,1.0,1.0,1,1,1,1.0,1.0,0.5878186225891113,0.5878186225891113
11,Những trường đại học nào ở Việt Nam nghiên cứu về ...,chunk_5,1.0,1.0,1,1,1,1.0,1.0,0.623798668384552,0.623798668384552
12,Chiến lược quốc gia về AI của Việt Nam có mục tiêu...,chunk_5,1.0,1.0,1,1,1,1.0,1.0,0.580026388168335,0.580026388168335
13,AI được ứng dụng trong những lĩnh vực nào tại Việt...,chunk_6,2.0,0.5,0,1,1,0.5,0.6309297535714575,0.6311767101287842,0.6129480004310608
14,AI được sử dụng như thế nào trong y tế và nông ngh...,chunk_6,1.0,1.0,1,1,1,1.0,1.0,0.6305833458900452,0.6305833458900452
15,Những thách thức chính của AI hiện nay là gì?,chunk_7,,0.0,0,0,0,0.0,0.0,0.5959454774856567,0.0
16,Tương lai AI tại Việt Nam như thế nào?,chunk_7,,0.0,0,0,0,0.0,0.0,0.5991431474685669,0.0
