question_id,question,correct_chunk_id,found_rank,reciprocal_rank,hit@1,hit@3,hit@5,ap,ndcg@5,top_1_score,correct_score
1,Ai là người đầu tiên đặt ra thuật ngữ Trí tuệ nhân...,chunk_0,1.0,1.0,1,1,1,1.0,1.0,0.4712972939014435,0.4712972939014435
2,Hội nghị Dartmouth diễn ra vào năm nào?,chunk_0,4.0,0.25,0,0,1,0.25,0.43067655807339306,0.2719440460205078,0.18428365886211395
3,AI biểu tượng hay GOFAI là gì?,chunk_1,2.0,0.5,0,1,1,0.5,0.6309297535714575,0.6547964215278625,0.5438704490661621
4,Giai đoạn đầu của AI tập trung vào những gì?,chunk_1,2.0,0.5,0,1,1,0.5,0.6309297535714575,0.550046443939209,0.5349684953689575
5,Mùa đông AI đầu tiên xảy ra khi nào?,chunk_2,1.0,1.0,1,1,1,1.0,1.0,0.44590529799461365,0.44590529799461365
6,Nguyên nhân chính gây ra mùa đông AI là gì?,chunk_2,1.0,1.0,1,1,1,1.0,1.0,0.45349353551864624,0.45349353551864624
7,Thuật toán backpropagation được phát triển vào thờ...,chunk_3,3.0,0.3333333333333333,0,1,1,0.3333333333333333,0.5,0.34409594535827637,0.3341561555862427
8,Mạng nơ-ron nhân tạo trỗi dậy vào giai đoạn nào?,chunk_3,1.0,1.0,1,1,1,1.0,1.0,0.46670788526535034,0.46670788526535034
9,Học sâu là gì và ứng dụng trong những lĩnh vực nào...,chunk_4,1.0,1.0,1,1,1,1.0,1.0,0.5178355574607849,0.5178355574607849
10,GPT-4 và BERT thuộc về kỷ nguyên nào của AI?,chunk_4,3.0,0.3333333333333333,0,1,1,0.3333333333333333,0.5,0.34782201051712036,0.29332318902015686
11,Những trường đại học nào ở Việt Nam nghiên cứu về ...,chunk_5,1.0,1.0,1,1,1,1.0,1.0,0.4392055869102478,0.4392055869102478
12,Chiến lược quốc gia về AI của Việt Nam có mục tiêu...,chunk_5,2.0,0.5,0,1,1,0.5,0.6309297535714575,0.5262659788131714,0.5250885486602783
13,AI được ứng dụng trong những lĩnh vực nào tại Việt...,chunk_6,2.0,0.5,0,1,1,0.5,0.6309297535714575,0.6764594912528992,0.6398947238922119
14,AI được sử dụng như thế nào trong y tế và nông ngh...,chunk_6,1.0,1.0,1,1,1,1.0,1.0,0.5748811960220337,0.5748811960220337
15,Những thách thức chính của AI hiện nay là gì?,chunk_7,,0.0,0,0,0,0.0,0.0,0.5644118785858154,0.0
16,Tương lai AI tại Việt Nam như thế nào?,chunk_7,,0.0,0,0,0,0.0,0.0,0.5381718873977661,0.0
